date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:03	15377/15377	---M--	200	added ('OK')	image/png	etag:%225ac352db607ec553f5c2856a793929aa%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/Criativo1_3_small319b319b.png?v=1714438230	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/Criativo1_3_small319b319b319b.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:04	5180/5180	---M--	200	added ('OK')	image/jpeg	etag:%22ac0fc9ef56f625daa93b2761b4a222e9%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/images_3_sadsadsa_small17361736.jpg?v=1714494360	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/images_3_sadsadsa_small173617361736.jpg	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:04	11479941/11479941	---MCZ	200	added ('OK')	text/html	etag:W/%226df867affb2fe923e6d7f49f9b7cdaca%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/119-kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/119-kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:05	1069808/1069808	---MCZ	200	added ('OK')	text/html	etag:W/%22fc1be6f0145290bdde9e4d901abcdf70%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-24-unidades-detergente-ype-liquido-neutro.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-24-unidades-detergente-ype-liquido-neutro.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:05	18490/18490	---M--	200	added ('OK')	image/png	etag:%223dc309536d93ef9b9aee275663038c4f%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/IMG_6500_small47934793.png?v=1714143153	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/IMG_6500_small479347934793.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:06	16478/16478	---M--	200	added ('OK')	image/png	etag:%226a9a474a3896ba389543bd41012f1535%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/IMG_6499_smallb2c0b2c0.png?v=1714142763	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/IMG_6499_smallb2c0b2c0b2c0.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:06	11466092/11466092	---MCZ	200	added ('OK')	text/html	etag:W/%22e24cf7e8acb291bdc658a713b88ab5d1%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-arroz-branco-tipo-1-camil-pacote-5kg.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-arroz-branco-tipo-1-camil-pacote-5kg.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:07	15391/15391	---M--	200	added ('OK')	image/png	etag:%227d9b354c9f18399bad501c88954c444a%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/Criativo2_1_smalle602e602.png?v=1714438283	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/Criativo2_1_smalle602e602e602.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:08	69828/69828	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ea0b6190ddbcc5b109650736cf962e49%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/http2.mlstatic.com/analytics/ga/mlb-ml-analytics.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/http2.mlstatic.com/analytics/ga/mlb-ml-analytics.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:08	24834/24834	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660bbd42bba6ad86d52590f722ed489e%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/http2.mlstatic.com/storage/melidata-js-sdk/js/3/0.4.0/melidata.min.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/http2.mlstatic.com/storage/melidata-js-sdk/js/3/0.4.0/melidata.min.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
